name	model	benchmark	condition	source_dir	start	n
gemma-3-1b-it_mmlu_pro_importance	google/gemma-3-1b-it	mmlu_pro	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_mmlu_pro_k4_importance	-	-
gemma-3-1b-it_mmlu_pro_random	google/gemma-3-1b-it	mmlu_pro	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_mmlu_pro_k4_random	-	-
gemma-3-1b-it_arc_clean	google/gemma-3-1b-it	arc	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_arc	-	-
gemma-3-1b-it_arc_importance	google/gemma-3-1b-it	arc	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_arc_k4_importance	-	-
gemma-3-1b-it_arc_random	google/gemma-3-1b-it	arc	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_arc_k4_random	-	-
gemma-3-1b-it_commonsense_qa_clean	google/gemma-3-1b-it	commonsense_qa	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_commonsense_qa	-	-
gemma-3-1b-it_commonsense_qa_importance	google/gemma-3-1b-it	commonsense_qa	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_commonsense_qa_k4_importance	-	-
gemma-3-1b-it_commonsense_qa_random	google/gemma-3-1b-it	commonsense_qa	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_commonsense_qa_k4_random	-	-
gemma-3-1b-it_math_clean	google/gemma-3-1b-it	math	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/gemma-3-1b-it_math	-	-
gemma-3-1b-it_math_importance	google/gemma-3-1b-it	math	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_math_k4_importance	-	-
gemma-3-1b-it_math_random	google/gemma-3-1b-it	math	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/gemma-3-1b-it_math_k4_random	-	-
Llama-3.2-1B-Instruct_gsm8k_clean	meta-llama/Llama-3.2-1B-Instruct	gsm8k	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_gsm8k	-	-
Llama-3.2-1B-Instruct_gsm8k_importance	meta-llama/Llama-3.2-1B-Instruct	gsm8k	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_gsm8k_k4_importance	-	-
Llama-3.2-1B-Instruct_gsm8k_random	meta-llama/Llama-3.2-1B-Instruct	gsm8k	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_gsm8k_k4_random	-	-
Llama-3.2-1B-Instruct_mmlu_clean__p0	meta-llama/Llama-3.2-1B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_mmlu	0	1600
Llama-3.2-1B-Instruct_mmlu_clean__p1	meta-llama/Llama-3.2-1B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_mmlu	1600	1250
Llama-3.2-1B-Instruct_mmlu_importance__p0	meta-llama/Llama-3.2-1B-Instruct	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_k4_importance	0	1600
Llama-3.2-1B-Instruct_mmlu_importance__p1	meta-llama/Llama-3.2-1B-Instruct	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_k4_importance	1600	1250
Llama-3.2-1B-Instruct_mmlu_random__p0	meta-llama/Llama-3.2-1B-Instruct	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_k4_random	0	1600
Llama-3.2-1B-Instruct_mmlu_random__p1	meta-llama/Llama-3.2-1B-Instruct	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_k4_random	1600	1250
Llama-3.2-1B-Instruct_mmlu_pro_clean	meta-llama/Llama-3.2-1B-Instruct	mmlu_pro	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_mmlu_pro	-	-
Llama-3.2-1B-Instruct_mmlu_pro_importance	meta-llama/Llama-3.2-1B-Instruct	mmlu_pro	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_pro_k4_importance	-	-
Llama-3.2-1B-Instruct_mmlu_pro_random	meta-llama/Llama-3.2-1B-Instruct	mmlu_pro	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_mmlu_pro_k4_random	-	-
Llama-3.2-1B-Instruct_arc_clean	meta-llama/Llama-3.2-1B-Instruct	arc	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_arc	-	-
Llama-3.2-1B-Instruct_arc_importance	meta-llama/Llama-3.2-1B-Instruct	arc	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_arc_k4_importance	-	-
Llama-3.2-1B-Instruct_arc_random	meta-llama/Llama-3.2-1B-Instruct	arc	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_arc_k4_random	-	-
Llama-3.2-1B-Instruct_commonsense_qa_clean	meta-llama/Llama-3.2-1B-Instruct	commonsense_qa	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_commonsense_qa	-	-
Llama-3.2-1B-Instruct_commonsense_qa_importance	meta-llama/Llama-3.2-1B-Instruct	commonsense_qa	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_commonsense_qa_k4_importance	-	-
Llama-3.2-1B-Instruct_commonsense_qa_random	meta-llama/Llama-3.2-1B-Instruct	commonsense_qa	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_commonsense_qa_k4_random	-	-
Llama-3.2-1B-Instruct_math_clean	meta-llama/Llama-3.2-1B-Instruct	math	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-1B-Instruct_math	-	-
Llama-3.2-1B-Instruct_math_importance	meta-llama/Llama-3.2-1B-Instruct	math	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_math_k4_importance	-	-
Llama-3.2-1B-Instruct_math_random	meta-llama/Llama-3.2-1B-Instruct	math	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-1B-Instruct_math_k4_random	-	-
Llama-3.2-3B-Instruct_gsm8k_clean	meta-llama/Llama-3.2-3B-Instruct	gsm8k	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_gsm8k	-	-
Llama-3.2-3B-Instruct_gsm8k_importance	meta-llama/Llama-3.2-3B-Instruct	gsm8k	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_gsm8k_k4_importance	-	-
Llama-3.2-3B-Instruct_gsm8k_random	meta-llama/Llama-3.2-3B-Instruct	gsm8k	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_gsm8k_k4_random	-	-
Llama-3.2-3B-Instruct_mmlu_clean__p0	meta-llama/Llama-3.2-3B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_mmlu	0	1600
Llama-3.2-3B-Instruct_mmlu_clean__p1	meta-llama/Llama-3.2-3B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_mmlu	1600	1250
Llama-3.2-3B-Instruct_mmlu_importance__p0	meta-llama/Llama-3.2-3B-Instruct	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_k4_importance	0	1600
Llama-3.2-3B-Instruct_mmlu_importance__p1	meta-llama/Llama-3.2-3B-Instruct	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_k4_importance	1600	1250
Llama-3.2-3B-Instruct_mmlu_random__p0	meta-llama/Llama-3.2-3B-Instruct	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_k4_random	0	1600
Llama-3.2-3B-Instruct_mmlu_random__p1	meta-llama/Llama-3.2-3B-Instruct	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_k4_random	1600	1250
Llama-3.2-3B-Instruct_mmlu_pro_clean	meta-llama/Llama-3.2-3B-Instruct	mmlu_pro	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_mmlu_pro	-	-
Llama-3.2-3B-Instruct_mmlu_pro_importance	meta-llama/Llama-3.2-3B-Instruct	mmlu_pro	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_pro_k4_importance	-	-
Llama-3.2-3B-Instruct_mmlu_pro_random	meta-llama/Llama-3.2-3B-Instruct	mmlu_pro	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_pro_k4_random	-	-
Llama-3.2-3B-Instruct_arc_clean	meta-llama/Llama-3.2-3B-Instruct	arc	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_arc	-	-
Llama-3.2-3B-Instruct_arc_importance	meta-llama/Llama-3.2-3B-Instruct	arc	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_arc_k4_importance	-	-
Llama-3.2-3B-Instruct_arc_random	meta-llama/Llama-3.2-3B-Instruct	arc	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_arc_k4_random	-	-
Llama-3.2-3B-Instruct_commonsense_qa_clean	meta-llama/Llama-3.2-3B-Instruct	commonsense_qa	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_commonsense_qa	-	-
Llama-3.2-3B-Instruct_commonsense_qa_importance	meta-llama/Llama-3.2-3B-Instruct	commonsense_qa	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_commonsense_qa_k4_importance	-	-
Llama-3.2-3B-Instruct_commonsense_qa_random	meta-llama/Llama-3.2-3B-Instruct	commonsense_qa	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_commonsense_qa_k4_random	-	-
Llama-3.2-3B-Instruct_math_clean	meta-llama/Llama-3.2-3B-Instruct	math	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_math	-	-
Llama-3.2-3B-Instruct_math_importance	meta-llama/Llama-3.2-3B-Instruct	math	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_math_k4_importance	-	-
Llama-3.2-3B-Instruct_math_random	meta-llama/Llama-3.2-3B-Instruct	math	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_math_k4_random	-	-
Mistral-7B-Instruct-v0.3_gsm8k_clean	mistralai/Mistral-7B-Instruct-v0.3	gsm8k	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_gsm8k	-	-
Mistral-7B-Instruct-v0.3_gsm8k_importance	mistralai/Mistral-7B-Instruct-v0.3	gsm8k	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_gsm8k_k4_importance	-	-
Mistral-7B-Instruct-v0.3_gsm8k_random	mistralai/Mistral-7B-Instruct-v0.3	gsm8k	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_gsm8k_k4_random	-	-
Mistral-7B-Instruct-v0.3_mmlu_clean__p0	mistralai/Mistral-7B-Instruct-v0.3	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_mmlu	0	1600
Mistral-7B-Instruct-v0.3_mmlu_clean__p1	mistralai/Mistral-7B-Instruct-v0.3	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_mmlu	1600	1250
Mistral-7B-Instruct-v0.3_mmlu_importance__p0	mistralai/Mistral-7B-Instruct-v0.3	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_k4_importance	0	1600
Mistral-7B-Instruct-v0.3_mmlu_importance__p1	mistralai/Mistral-7B-Instruct-v0.3	mmlu	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_k4_importance	1600	1250
Mistral-7B-Instruct-v0.3_mmlu_random__p0	mistralai/Mistral-7B-Instruct-v0.3	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_k4_random	0	1600
Mistral-7B-Instruct-v0.3_mmlu_random__p1	mistralai/Mistral-7B-Instruct-v0.3	mmlu	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_k4_random	1600	1250
Mistral-7B-Instruct-v0.3_mmlu_pro_clean	mistralai/Mistral-7B-Instruct-v0.3	mmlu_pro	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_mmlu_pro	-	-
Mistral-7B-Instruct-v0.3_mmlu_pro_importance	mistralai/Mistral-7B-Instruct-v0.3	mmlu_pro	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_pro_k4_importance	-	-
Mistral-7B-Instruct-v0.3_mmlu_pro_random	mistralai/Mistral-7B-Instruct-v0.3	mmlu_pro	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_pro_k4_random	-	-
Mistral-7B-Instruct-v0.3_arc_clean	mistralai/Mistral-7B-Instruct-v0.3	arc	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_arc	-	-
Mistral-7B-Instruct-v0.3_arc_importance	mistralai/Mistral-7B-Instruct-v0.3	arc	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_arc_k4_importance	-	-
Mistral-7B-Instruct-v0.3_arc_random	mistralai/Mistral-7B-Instruct-v0.3	arc	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_arc_k4_random	-	-
Mistral-7B-Instruct-v0.3_commonsense_qa_clean	mistralai/Mistral-7B-Instruct-v0.3	commonsense_qa	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_commonsense_qa	-	-
Mistral-7B-Instruct-v0.3_commonsense_qa_importance	mistralai/Mistral-7B-Instruct-v0.3	commonsense_qa	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_commonsense_qa_k4_importance	-	-
Mistral-7B-Instruct-v0.3_commonsense_qa_random	mistralai/Mistral-7B-Instruct-v0.3	commonsense_qa	random	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_commonsense_qa_k4_random	-	-
Mistral-7B-Instruct-v0.3_math_clean	mistralai/Mistral-7B-Instruct-v0.3	math	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_math	-	-
Mistral-7B-Instruct-v0.3_math_importance	mistralai/Mistral-7B-Instruct-v0.3	math	importance	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_math_k4_importance	-	-
Mistral-7B-Instruct-v0.3_math_random	mistralai/Mistral-7B-Instruct-v0.3	math	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Mistral-7B-Instruct-v0.3_math_k4_random	-	-
Qwen2.5-7B-Instruct_gsm8k_clean	Qwen/Qwen2.5-7B-Instruct	gsm8k	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Qwen2.5-7B-Instruct_gsm8k	-	-
Qwen2.5-7B-Instruct_gsm8k_importance	Qwen/Qwen2.5-7B-Instruct	gsm8k	importance	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_gsm8k_k4_importance	-	-
Qwen2.5-7B-Instruct_gsm8k_random	Qwen/Qwen2.5-7B-Instruct	gsm8k	random	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_gsm8k_k4_random	-	-
Qwen2.5-7B-Instruct_mmlu_clean__p0	Qwen/Qwen2.5-7B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Qwen2.5-7B-Instruct_mmlu	0	1600
Qwen2.5-7B-Instruct_mmlu_clean__p1	Qwen/Qwen2.5-7B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Qwen2.5-7B-Instruct_mmlu	1600	1600
Qwen2.5-7B-Instruct_mmlu_clean__p2	Qwen/Qwen2.5-7B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Qwen2.5-7B-Instruct_mmlu	3200	1600
Qwen2.5-7B-Instruct_mmlu_clean__p3	Qwen/Qwen2.5-7B-Instruct	mmlu	clean	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Qwen2.5-7B-Instruct_mmlu	4800	900
Qwen2.5-7B-Instruct_mmlu_importance__p0	Qwen/Qwen2.5-7B-Instruct	mmlu	importance	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_k4_importance	0	1600
Qwen2.5-7B-Instruct_mmlu_importance__p1	Qwen/Qwen2.5-7B-Instruct	mmlu	importance	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_k4_importance	1600	1600
Qwen2.5-7B-Instruct_mmlu_importance__p2	Qwen/Qwen2.5-7B-Instruct	mmlu	importance	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_k4_importance	3200	1600
Qwen2.5-7B-Instruct_mmlu_importance__p3	Qwen/Qwen2.5-7B-Instruct	mmlu	importance	/diskthalys/ssd14tc/sfukuhata/dev/kanolab/typo_robust_analysis/.claude/worktrees/exp-10-scope/projects/typo-cot/outputs/perturbed/Qwen2.5-7B-Instruct_mmlu_k4_importance	4800	900
