# name	model	benchmark	baseline_dir	perturbed_dir	start	n
Llama-3.2-3B-Instruct_mmlu_pro_k4_random	meta-llama/Llama-3.2-3B-Instruct	mmlu_pro	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_mmlu_pro	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_mmlu_pro_k4_random	-	-
Llama-3.2-3B-Instruct_arc_k4_importance	meta-llama/Llama-3.2-3B-Instruct	arc	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_arc	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_arc_k4_importance	-	-
Llama-3.2-3B-Instruct_arc_k4_random	meta-llama/Llama-3.2-3B-Instruct	arc	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_arc	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_arc_k4_random	-	-
Llama-3.2-3B-Instruct_commonsense_qa_k4_importance	meta-llama/Llama-3.2-3B-Instruct	commonsense_qa	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_commonsense_qa	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_commonsense_qa_k4_importance	-	-
Llama-3.2-3B-Instruct_commonsense_qa_k4_random	meta-llama/Llama-3.2-3B-Instruct	commonsense_qa	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Llama-3.2-3B-Instruct_commonsense_qa	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Llama-3.2-3B-Instruct_commonsense_qa_k4_random	-	-
Mistral-7B-Instruct-v0.3_gsm8k_k4_importance	mistralai/Mistral-7B-Instruct-v0.3	gsm8k	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_gsm8k	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_gsm8k_k4_importance	-	-
Mistral-7B-Instruct-v0.3_gsm8k_k4_random	mistralai/Mistral-7B-Instruct-v0.3	gsm8k	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_gsm8k	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_gsm8k_k4_random	-	-
Mistral-7B-Instruct-v0.3_mmlu_k4_importance__p0	mistralai/Mistral-7B-Instruct-v0.3	mmlu	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_mmlu	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_k4_importance	0	1425
Mistral-7B-Instruct-v0.3_mmlu_k4_importance__p1	mistralai/Mistral-7B-Instruct-v0.3	mmlu	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_mmlu	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_k4_importance	1425	-
Mistral-7B-Instruct-v0.3_mmlu_k4_random__p0	mistralai/Mistral-7B-Instruct-v0.3	mmlu	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_mmlu	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_k4_random	0	1425
Mistral-7B-Instruct-v0.3_mmlu_k4_random__p1	mistralai/Mistral-7B-Instruct-v0.3	mmlu	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_mmlu	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_k4_random	1425	-
Mistral-7B-Instruct-v0.3_mmlu_pro_k4_importance	mistralai/Mistral-7B-Instruct-v0.3	mmlu_pro	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_mmlu_pro	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_pro_k4_importance	-	-
Mistral-7B-Instruct-v0.3_mmlu_pro_k4_random	mistralai/Mistral-7B-Instruct-v0.3	mmlu_pro	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_mmlu_pro	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_mmlu_pro_k4_random	-	-
Mistral-7B-Instruct-v0.3_arc_k4_importance	mistralai/Mistral-7B-Instruct-v0.3	arc	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_arc	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_arc_k4_importance	-	-
Mistral-7B-Instruct-v0.3_arc_k4_random	mistralai/Mistral-7B-Instruct-v0.3	arc	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_arc	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_arc_k4_random	-	-
Mistral-7B-Instruct-v0.3_commonsense_qa_k4_importance	mistralai/Mistral-7B-Instruct-v0.3	commonsense_qa	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_commonsense_qa	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_commonsense_qa_k4_importance	-	-
Mistral-7B-Instruct-v0.3_commonsense_qa_k4_random	mistralai/Mistral-7B-Instruct-v0.3	commonsense_qa	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/baseline/Mistral-7B-Instruct-v0.3_commonsense_qa	/home/sfukuhata/dev/kanolab/archive/2025/JSAI2026/outputs/perturbed/Mistral-7B-Instruct-v0.3_commonsense_qa_k4_random	-	-
